id,context,question,answer_text,start_position
,"꼬리 깃털이라는 뜻의 코우딥테릭스는 중국 요동성에서 발견된 깃털 공룡으로, 깃털은 있으나 날지 못했다. 이러한 깃털은 몸의 체온을 조절하거나 암컷을 유혹하기 위해 진화한 것으로 보인다. 생김새는 거의 새와 비슷하다. 주둥이 끝에는 이빨이 발달했으며, 날개는 물론 꼬리도 깃털로 덮여 있다. 뒷다리가 발달해 힘차게 달릴 수 있었다. 날개는 아마도 힘껏 뛰어다니며 높은 곳에 있는 곤충 등을 잡아먹기 위해 뛰어오를 때 사용했을 것이다. 몸매가 날렵하여 매우 빠르게 움직였던 것으로 보인다. 생존시대는 백악기 전기이며, 크기는 60~70cm이다.",코우딥테릭스는 크기는?,60~70cm,292
,"예쁜 턱 혹은 작은 턱이라는 뜻의 콤프소그나투스는 콤프소그나투스과 콤프소그나투스아과에 딸린 공룡의 한 속이다. 1개의 종이 속하며 육식공룡이다. 몸 길이는 1m 정도이고, 또 몸무게는 설탕 세 포대 정도로 3kg 정도이다. 1859년 최초로 발견된 콤프소그나투스의 화석은 독일 바이에른주의 졸른호펜 석회암 지대에서 발굴되었으며, 이곳은 시조새와 몇 종류의 익룡 화석이 산출된 곳으로도 알려져 있다.",콤프소그나투스는 육식공룡인가?,육식공룡이다,73
,"예쁜 턱 혹은 작은 턱이라는 뜻의 콤프소그나투스는 콤프소그나투스과 콤프소그나투스아과에 딸린 공룡의 한 속이다. 1개의 종이 속하며 육식공룡이다. 몸 길이는 1m 정도이고, 또 몸무게는 설탕 세 포대 정도로 3kg 정도이다. 1859년 최초로 발견된 콤프소그나투스의 화석은 독일 바이에른주의 졸른호펜 석회암 지대에서 발굴되었으며, 이곳은 시조새와 몇 종류의 익룡 화석이 산출된 곳으로도 알려져 있다.",콤프소그나투스의 화석은 어디에서 발견되었는가?,독일,152
,"예쁜 턱 혹은 작은 턱이라는 뜻의 콤프소그나투스는 콤프소그나투스과 콤프소그나투스아과에 딸린 공룡의 한 속이다. 1개의 종이 속하며 육식공룡이다. 몸 길이는 1m 정도이고, 또 몸무게는 설탕 세 포대 정도로 3kg 정도이다. 1859년 최초로 발견된 콤프소그나투스의 화석은 독일 바이에른주의 졸른호펜 석회암 지대에서 발굴되었으며, 이곳은 시조새와 몇 종류의 익룡 화석이 산출된 곳으로도 알려져 있다.",콤프소그나투스의 몸무게는?,3kg,115
,"예쁜 턱 혹은 작은 턱이라는 뜻의 콤프소그나투스는 콤프소그나투스과 콤프소그나투스아과에 딸린 공룡의 한 속이다. 1개의 종이 속하며 육식공룡이다. 몸 길이는 1m 정도이고, 또 몸무게는 설탕 세 포대 정도로 3kg 정도이다. 1859년 최초로 발견된 콤프소그나투스의 화석은 독일 바이에른주의 졸른호펜 석회암 지대에서 발굴되었으며, 이곳은 시조새와 몇 종류의 익룡 화석이 산출된 곳으로도 알려져 있다.",콤프소그나투스의 화석은 언제 최초로 발견되었는가?,1859년,125
,"크로노사우루스는 중생대 백악기 전기에 남아메리카, 오세아니아 등에서 서식했던 해서 파충류의 일종이다. 속명은 그리스신화에 나오는 크로노스 신의 이름에서 유래되었다. 크기는 9m이며, 식성은 육식성이다. 발견지는 호주이다. 일반적으로 수장룡의 목은 매우 긴데, 이 수장룡은 목이 짧고 대신 머리 길이가 몸의 4분의 1이나 된다. 입은 매우 크고 20cm 정도 크기의 날카로운 이빨이 줄지어 나 있다. 턱 또한 강해서 어떤 먹이라도 한 번 잡으면 놓치지 않았을 것이다. 바다에 사는 모든 동물을 먹이로 사냥했을 것으로 보인다.",크로노사우루스는 언제 서식했는가?,중생대 백악기 전기,9
,"크로노사우루스는 중생대 백악기 전기에 남아메리카, 오세아니아 등에서 서식했던 해서 파충류의 일종이다. 속명은 그리스신화에 나오는 크로노스 신의 이름에서 유래되었다. 크기는 9m이며, 식성은 육식성이다. 발견지는 호주이다. 일반적으로 수장룡의 목은 매우 긴데, 이 수장룡은 목이 짧고 대신 머리 길이가 몸의 4분의 1이나 된다. 입은 매우 크고 20cm 정도 크기의 날카로운 이빨이 줄지어 나 있다. 턱 또한 강해서 어떤 먹이라도 한 번 잡으면 놓치지 않았을 것이다. 바다에 사는 모든 동물을 먹이로 사냥했을 것으로 보인다.",크로노사우루스의 속명은 어디에서 유래되었는가?,크로노스 신의 이름,72
,"크로노사우루스는 중생대 백악기 전기에 남아메리카, 오세아니아 등에서 서식했던 해서 파충류의 일종이다. 속명은 그리스신화에 나오는 크로노스 신의 이름에서 유래되었다. 크기는 9m이며, 식성은 육식성이다. 발견지는 호주이다. 일반적으로 수장룡의 목은 매우 긴데, 이 수장룡은 목이 짧고 대신 머리 길이가 몸의 4분의 1이나 된다. 입은 매우 크고 20cm 정도 크기의 날카로운 이빨이 줄지어 나 있다. 턱 또한 강해서 어떤 먹이라도 한 번 잡으면 놓치지 않았을 것이다. 바다에 사는 모든 동물을 먹이로 사냥했을 것으로 보인다.",크로노사우르스의 발견지는?,호주,118
,"크리오린쿠스는 산양의 주둥이라는 뜻이다. 몸집이 매우 컸지만 몸무게는 가벼웠다. 기다란 주둥이는 앞이 둥그렇게 마무리되어 있고 위아래로 날카로운 이빨이 나 있어 물고기를 잡기에 편리했다. 1860년대에 발견된 아주 오래된 익룡으로, 주둥이 끝 부분만 발견된 상태라 정확한 모습은 아직 알 수 없다. 주로 바닷가에서 살았다. 생존시대는 백악기 중기이다. 크기는 5m이다. 식성은 육식성이며, 발견지는 유럽이다.",크리오린쿠스의 뜻은?,산양의 주둥이,8
,"크리오린쿠스는 산양의 주둥이라는 뜻이다. 몸집이 매우 컸지만 몸무게는 가벼웠다. 기다란 주둥이는 앞이 둥그렇게 마무리되어 있고 위아래로 날카로운 이빨이 나 있어 물고기를 잡기에 편리했다. 1860년대에 발견된 아주 오래된 익룡으로, 주둥이 끝 부분만 발견된 상태라 정확한 모습은 아직 알 수 없다. 주로 바닷가에서 살았다. 생존시대는 백악기 중기이다. 크기는 5m이다. 식성은 육식성이며, 발견지는 유럽이다.",크리오린쿠스의 생존시대는 언제인가?,백악기 중기,187
,"크리오린쿠스는 산양의 주둥이라는 뜻이다. 몸집이 매우 컸지만 몸무게는 가벼웠다. 기다란 주둥이는 앞이 둥그렇게 마무리되어 있고 위아래로 날카로운 이빨이 나 있어 물고기를 잡기에 편리했다. 1860년대에 발견된 아주 오래된 익룡으로, 주둥이 끝 부분만 발견된 상태라 정확한 모습은 아직 알 수 없다. 주로 바닷가에서 살았다. 생존시대는 백악기 중기이다. 크기는 5m이다. 식성은 육식성이며, 발견지는 유럽이다.",크리오린쿠스는 언제 발견되었는가?,1860년대,105
,"크리올로포사우루스는 쥐라기 전기에 서식한 수각류 육식 공룡이다. 이름은 찬 볏 도마뱀이라는 뜻으로 몸길이는 7~8m였다. 볏은 두개골의 코뼈 위에 달려있다. 딜로포사우루스와 계통적으로 매우 가깝다. 무게는 450-550kg이며, 발견지는 남극이다.",크리올로포사우루스의 이름은 무슨 뜻인가?,찬 볏 도마뱀,40
,"크리올로포사우루스는 쥐라기 전기에 서식한 수각류 육식 공룡이다. 이름은 찬 볏 도마뱀이라는 뜻으로 몸길이는 7~8m였다. 볏은 두개골의 코뼈 위에 달려있다. 딜로포사우루스와 계통적으로 매우 가깝다. 무게는 450-550kg이며, 발견지는 남극이다.",크리올로포사우루스의 몸길이는?,7~8m,60
,"크리올로포사우루스는 쥐라기 전기에 서식한 수각류 육식 공룡이다. 이름은 찬 볏 도마뱀이라는 뜻으로 몸길이는 7~8m였다. 볏은 두개골의 코뼈 위에 달려있다. 딜로포사우루스와 계통적으로 매우 가깝다. 무게는 450-550kg이며, 발견지는 남극이다.",크리올로포사우루스는 계통적으로 어떤 공룡과 매우 가까운가?,딜로포사우루스,88
,"숨겨진 깃이란 뜻의 크리프토클리두스는 목이 길며, 몸통은 등딱지가 없는 거북모양이다. 네 개의 지느러미는 튼튼하고 길어 굉장히 빠른 속도로 헤엄쳤던 것으로 보인다. 이빨이 서로 잘 맞물리게 되어 있어 작은 물고기나 새우를 잡아먹었던 것 같다. 생존시대는 쥐라기 후기이다. 크기는 4m이며, 식성은 육식성이다. 발견지는 유럽이다.",크리프토클리두스의 몸통은 무슨 모양인가?,거북모양,40
,"숨겨진 깃이란 뜻의 크리프토클리두스는 목이 길며, 몸통은 등딱지가 없는 거북모양이다. 네 개의 지느러미는 튼튼하고 길어 굉장히 빠른 속도로 헤엄쳤던 것으로 보인다. 이빨이 서로 잘 맞물리게 되어 있어 작은 물고기나 새우를 잡아먹었던 것 같다. 생존시대는 쥐라기 후기이다. 크기는 4m이며, 식성은 육식성이다. 발견지는 유럽이다.",크리프토클리두스의 지느러미는 몇 개인가?,네 개,48
,"숨겨진 깃이란 뜻의 크리프토클리두스는 목이 길며, 몸통은 등딱지가 없는 거북모양이다. 네 개의 지느러미는 튼튼하고 길어 굉장히 빠른 속도로 헤엄쳤던 것으로 보인다. 이빨이 서로 잘 맞물리게 되어 있어 작은 물고기나 새우를 잡아먹었던 것 같다. 생존시대는 쥐라기 후기이다. 크기는 4m이며, 식성은 육식성이다. 발견지는 유럽이다.",크리프토클리두스는 무엇을 잡아먹었던 것으로 추정되는가?,작은 물고기나 새우,112
,"빗턱이라는 뜻의 크테노카스마는 주둥이는 길고, 꼬리는 거의 없다시피 짧다. 길쭉한 주둥이에는 날카로운 이빨이 촘촘히 나 있어 마치 빗을 보는 것 같다. 이러한 이빨은 최대 250개나 되며, 주둥이 끝으로 갈수록 길고 크다. 바닷가나 큰 호수 근처에 살았고 자유자재로 하늘을 날아다니며 물고기를 잡아먹었다. 크기는 1~1.5m이며, 발견지는 유럽이다.",크테노카스마의 이빨은 몇 개나 되는가?,최대 250개,93
,"빗턱이라는 뜻의 크테노카스마는 주둥이는 길고, 꼬리는 거의 없다시피 짧다. 길쭉한 주둥이에는 날카로운 이빨이 촘촘히 나 있어 마치 빗을 보는 것 같다. 이러한 이빨은 최대 250개나 되며, 주둥이 끝으로 갈수록 길고 크다. 바닷가나 큰 호수 근처에 살았고 자유자재로 하늘을 날아다니며 물고기를 잡아먹었다. 크기는 1~1.5m이며, 발견지는 유럽이다.",크테노카스마는 무엇을 먹었는가?,물고기,159
,"빗턱이라는 뜻의 크테노카스마는 주둥이는 길고, 꼬리는 거의 없다시피 짧다. 길쭉한 주둥이에는 날카로운 이빨이 촘촘히 나 있어 마치 빗을 보는 것 같다. 이러한 이빨은 최대 250개나 되며, 주둥이 끝으로 갈수록 길고 크다. 바닷가나 큰 호수 근처에 살았고 자유자재로 하늘을 날아다니며 물고기를 잡아먹었다. 크기는 1~1.5m이며, 발견지는 유럽이다.",크테노카스마의 발견지는?,유럽,190
,"클리다스테스는 클리스의 열쇠라는 뜻으로, 모사사우루스류중 가장 작은 종류였다. 머리부터 꼬리 끝까지 등줄기를 따라 등지느러미가 나란히 나있다. 네 지느러미는 물갈퀴로 변형되었으며, 꼬리는 길고 머리는 뾰족하다. 목은 짧고 입은 컸는데, 입에는 날카로운 이빨이 안쪽으로 나 있어 작은 어룡과 물고기를 잡아먹었다. 크기는 3m이며, 발견지는 북아메리카이다.",클리다스테스의 의미는 무엇인가?,클리스의 열쇠,8
,"클리다스테스는 클리스의 열쇠라는 뜻으로, 모사사우루스류중 가장 작은 종류였다. 머리부터 꼬리 끝까지 등줄기를 따라 등지느러미가 나란히 나있다. 네 지느러미는 물갈퀴로 변형되었으며, 꼬리는 길고 머리는 뾰족하다. 목은 짧고 입은 컸는데, 입에는 날카로운 이빨이 안쪽으로 나 있어 작은 어룡과 물고기를 잡아먹었다. 크기는 3m이며, 발견지는 북아메리카이다.",클리다스테스의 지느러미는 무엇으로 변형되었는가?,물갈퀴,88
,"클리다스테스는 클리스의 열쇠라는 뜻으로, 모사사우루스류중 가장 작은 종류였다. 머리부터 꼬리 끝까지 등줄기를 따라 등지느러미가 나란히 나있다. 네 지느러미는 물갈퀴로 변형되었으며, 꼬리는 길고 머리는 뾰족하다. 목은 짧고 입은 컸는데, 입에는 날카로운 이빨이 안쪽으로 나 있어 작은 어룡과 물고기를 잡아먹었다. 크기는 3m이며, 발견지는 북아메리카이다.",클리다스테스의 발견지는?,북아메리카,189
,"키노그나투스는 개 이빨이라는 뜻이다. 작은 동물을 잡아먹는 포유류 형 파충류인데, 30cm가 넘는 긴 머리와 튼튼하고 강한 턱이 사냥감을 포획하는 무기였다. 지금의 개처럼 생겼으며, 특이한 점은 포유류처럼 세 종류의 이빨이 있다는 것이다. 사냥감을 찌르는 송곳니, 사냥감을 자르는 앞니, 그 먹이를 잘게 부수는 어금니가 있다. 몸통은 길고 꼬리는 짧으며 네 다리로 걸어다녔는데 테랍시드목 파충류 중에서 힘이 가장 셌다. 크기는 1~2.5m이며, 발견지는 남아메리카와 아프리카이다.",키노그나투스의 의미는 무엇인가?,개 이빨,8
,"키노그나투스는 개 이빨이라는 뜻이다. 작은 동물을 잡아먹는 포유류 형 파충류인데, 30cm가 넘는 긴 머리와 튼튼하고 강한 턱이 사냥감을 포획하는 무기였다. 지금의 개처럼 생겼으며, 특이한 점은 포유류처럼 세 종류의 이빨이 있다는 것이다. 사냥감을 찌르는 송곳니, 사냥감을 자르는 앞니, 그 먹이를 잘게 부수는 어금니가 있다. 몸통은 길고 꼬리는 짧으며 네 다리로 걸어다녔는데 테랍시드목 파충류 중에서 힘이 가장 셌다. 크기는 1~2.5m이며, 발견지는 남아메리카와 아프리카이다.",키노그나투스는 지금의 어떤 동물처럼 생겼는가?,개,92
,"키노그나투스는 개 이빨이라는 뜻이다. 작은 동물을 잡아먹는 포유류 형 파충류인데, 30cm가 넘는 긴 머리와 튼튼하고 강한 턱이 사냥감을 포획하는 무기였다. 지금의 개처럼 생겼으며, 특이한 점은 포유류처럼 세 종류의 이빨이 있다는 것이다. 사냥감을 찌르는 송곳니, 사냥감을 자르는 앞니, 그 먹이를 잘게 부수는 어금니가 있다. 몸통은 길고 꼬리는 짧으며 네 다리로 걸어다녔는데 테랍시드목 파충류 중에서 힘이 가장 셌다. 크기는 1~2.5m이며, 발견지는 남아메리카와 아프리카이다.",키노그나투스에게는 몇 종류의 이빨이 있는가?,세 종류,115
,"키로스테노테스는 중생대 백악기 후기에 서식한 수각류의 일종이다. 학명은 가냘픈 손, 세밀한 손이란 의미를 갖고 있다. 전체 몸 길이는 약 1.7m~2m, 체중은 20kg~50kg정도 되었다. 2족보행을 하는 육식공룡이다. 가늘고 긴 발에는 3개의 발가락이 있고, 그 끝에는 긴 갈고리모양의 발톱이 있다. 화석은 캐나다 앨버타주에서 발견되었다.",키로스테노테스의 발가락은 몇개인가?,3개,134
,"키로스테노테스는 중생대 백악기 후기에 서식한 수각류의 일종이다. 학명은 가냘픈 손, 세밀한 손이란 의미를 갖고 있다. 전체 몸 길이는 약 1.7m~2m, 체중은 20kg~50kg정도 되었다. 2족보행을 하는 육식공룡이다. 가늘고 긴 발에는 3개의 발가락이 있고, 그 끝에는 긴 갈고리모양의 발톱이 있다. 화석은 캐나다 앨버타주에서 발견되었다.",키로스테노테스의 전체 몸 길이는?,1.7m~2m,77
,"키로스테노테스는 중생대 백악기 후기에 서식한 수각류의 일종이다. 학명은 가냘픈 손, 세밀한 손이란 의미를 갖고 있다. 전체 몸 길이는 약 1.7m~2m, 체중은 20kg~50kg정도 되었다. 2족보행을 하는 육식공룡이다. 가늘고 긴 발에는 3개의 발가락이 있고, 그 끝에는 긴 갈고리모양의 발톱이 있다. 화석은 캐나다 앨버타주에서 발견되었다.",키로스테노테스의 발톱 모양은 어떠한가?,갈고리모양,155
,"타르보사우루스는 놀라게 하는 도마뱀이란 뜻으로, 아시아에서 발견된 육식 공룡 중 가장 크다. 티라노사우루스보다 조금 전 시대에 살았던 공룡으로, 티라노사우루스에 비해 그리 알려지지 않았다. 티라노사우루스와 같은 종류로 분류되기도 하고 다른 종류로 분류되기도 하는데, 학자들의 의견이 서로 다르다. 몸은 티라노사우루스보다 약간 작고 앞다리는 티라노사우루스처럼 짧다. 두 개의 앞발가락에는 작지만 날카로운 발톱이 있다. 뒷다리는 크고 튼튼하며 발가락이 네 개 있다. 큰 머리에 날카로운 이빨이 있어 한 번 먹이를 물면 어지간해서 놓치는 법이 없었다. 그러나 이 공룡의 특징인 긴 아래턱의 뼈 구조로 보아 물어 뜯는 힘은 그리 강하지 않았을 것이다. 그래서 직접 사냥하기보다 다른 공룡이 사냥한 것을 빼앗거나 죽은 동물의 시체를 먹었을 것이다. 튼튼한 근육으로 연결된 꼬리는 사냥감을 쫓을 때 몸의 균형을 잡아 주고 사냥감을 후려칠 때 사용되었다.",타르보사우루스는 어디에서 발견되었는가?,아시아,27
,"타르보사우루스는 놀라게 하는 도마뱀이란 뜻으로, 아시아에서 발견된 육식 공룡 중 가장 크다. 티라노사우루스보다 조금 전 시대에 살았던 공룡으로, 티라노사우루스에 비해 그리 알려지지 않았다. 티라노사우루스와 같은 종류로 분류되기도 하고 다른 종류로 분류되기도 하는데, 학자들의 의견이 서로 다르다. 몸은 티라노사우루스보다 약간 작고 앞다리는 티라노사우루스처럼 짧다. 두 개의 앞발가락에는 작지만 날카로운 발톱이 있다. 뒷다리는 크고 튼튼하며 발가락이 네 개 있다. 큰 머리에 날카로운 이빨이 있어 한 번 먹이를 물면 어지간해서 놓치는 법이 없었다. 그러나 이 공룡의 특징인 긴 아래턱의 뼈 구조로 보아 물어 뜯는 힘은 그리 강하지 않았을 것이다. 그래서 직접 사냥하기보다 다른 공룡이 사냥한 것을 빼앗거나 죽은 동물의 시체를 먹었을 것이다. 튼튼한 근육으로 연결된 꼬리는 사냥감을 쫓을 때 몸의 균형을 잡아 주고 사냥감을 후려칠 때 사용되었다.",타르보사우루스의 꼬리는 어떤 때 사용되었는가?,사냥감을 후려칠 때,454
,"타르보사우루스는 놀라게 하는 도마뱀이란 뜻으로, 아시아에서 발견된 육식 공룡 중 가장 크다. 티라노사우루스보다 조금 전 시대에 살았던 공룡으로, 티라노사우루스에 비해 그리 알려지지 않았다. 티라노사우루스와 같은 종류로 분류되기도 하고 다른 종류로 분류되기도 하는데, 학자들의 의견이 서로 다르다. 몸은 티라노사우루스보다 약간 작고 앞다리는 티라노사우루스처럼 짧다. 두 개의 앞발가락에는 작지만 날카로운 발톱이 있다. 뒷다리는 크고 튼튼하며 발가락이 네 개 있다. 큰 머리에 날카로운 이빨이 있어 한 번 먹이를 물면 어지간해서 놓치는 법이 없었다. 그러나 이 공룡의 특징인 긴 아래턱의 뼈 구조로 보아 물어 뜯는 힘은 그리 강하지 않았을 것이다. 그래서 직접 사냥하기보다 다른 공룡이 사냥한 것을 빼앗거나 죽은 동물의 시체를 먹었을 것이다. 튼튼한 근육으로 연결된 꼬리는 사냥감을 쫓을 때 몸의 균형을 잡아 주고 사냥감을 후려칠 때 사용되었다.",타르보사우루스는 어떤 공룡과 같은 종류로 분류되기도 하는가?,티라노사우루스,106
,"타페자라는 투피의 오래된 것이란 뜻이다. 중생대 백악기 전기, 오늘날 남아메리카에서 서식한 익룡의 일종이다. 학명은 브라질의 원주민인 투피족의 신화에서 오래된 존재를 나타내는 단어에서 유래되었다. 날개를 폈을 때 총 길이는 약 1.5m 정도 된다. 같은 시대 익룡 중에서는 작은 편에 속한다. 식성은 육식이다.",타페자라의 학명은 어떤 원주민의 신화에서 유래된 것인가?,투피족,75
,"타페자라는 투피의 오래된 것이란 뜻이다. 중생대 백악기 전기, 오늘날 남아메리카에서 서식한 익룡의 일종이다. 학명은 브라질의 원주민인 투피족의 신화에서 오래된 존재를 나타내는 단어에서 유래되었다. 날개를 폈을 때 총 길이는 약 1.5m 정도 된다. 같은 시대 익룡 중에서는 작은 편에 속한다. 식성은 육식이다.",타페자라가 날개를 폈을 때 총 길이는?,약 1.5m,125
,"타페자라는 투피의 오래된 것이란 뜻이다. 중생대 백악기 전기, 오늘날 남아메리카에서 서식한 익룡의 일종이다. 학명은 브라질의 원주민인 투피족의 신화에서 오래된 존재를 나타내는 단어에서 유래되었다. 날개를 폈을 때 총 길이는 약 1.5m 정도 된다. 같은 시대 익룡 중에서는 작은 편에 속한다. 식성은 육식이다.",타페자라의 식성은?,육식,168
,"테스켈로사우루스는 중생대 백악기 후기, 오늘날 북아메리카 대륙에 서식한 4족보행의 초식공룡이다. 학명은 훌륭한 도마뱀, 기이한 도마뱀이라는 뜻을 갖고 있다. 화석은 캐나다의 앨버타주, 미국의 몬태나주에서 발견되었다. 전체 몸 길이는 약3m~4m, 체중은 300kg정도 되었을 것으로 추정된다. 머리가 작고, 아래턱 앞부분에 이빨이 있다. 앞다리는 짧고, 발가락이 5개 있다. 뒷다리는 대퇴부 부위가 길다. 꼬리도 단단하고 긴 편이다. 2심방2심실의 심장이 화석에서 발견된 예도 있다. 심장같은 부위는 잘 발견되지 않는다.",테스켈로사우루스는 어디에 서식하였는가?,북아메리카,26
,"테스켈로사우루스는 중생대 백악기 후기, 오늘날 북아메리카 대륙에 서식한 4족보행의 초식공룡이다. 학명은 훌륭한 도마뱀, 기이한 도마뱀이라는 뜻을 갖고 있다. 화석은 캐나다의 앨버타주, 미국의 몬태나주에서 발견되었다. 전체 몸 길이는 약3m~4m, 체중은 300kg정도 되었을 것으로 추정된다. 머리가 작고, 아래턱 앞부분에 이빨이 있다. 앞다리는 짧고, 발가락이 5개 있다. 뒷다리는 대퇴부 부위가 길다. 꼬리도 단단하고 긴 편이다. 2심방2심실의 심장이 화석에서 발견된 예도 있다. 심장같은 부위는 잘 발견되지 않는다.",테스켈로사우루스의 발가락은 몇 개인가?,5개,203
